index,value
2003 12???,0.207384486
2004 1???,0.204324928
2004 2???,0.185147146
2004 3???,0.210651402
2004 4???,0.255012972
2004 5???,0.247662358
2004 6???,0.268875865
2004 7???,0.298118251
2004 8???,0.269553547
2004 9???,0.24710596
2004 10???,0.249790192
2004 11???,0.201412713
2004 12???,0.214405816
2005 1???,0.203301482
2005 2???,0.223507027
2005 3???,0.186717391
2005 4???,0.229943925
2005 5???,0.32910316
2005 6???,0.305549612
2005 7???,0.316383109
2005 8???,0.29575146
2005 9???,0.274243614
2005 10???,0.2080167
2005 11???,0.230852755
2005 12???,0.203972737
2006 1???,0.207884334
2006 2???,0.184630807
2006 3???,0.230384636
2006 4???,0.24208515
2006 5???,0.264474705
2006 6???,0.256867305
2006 7???,0.243732
2006 8???,0.275723278
2006 9???,0.259155293
2006 10???,0.20402548
2006 11???,0.204808678
2006 12???,0.183840009
2007 1???,0.214467722
2007 2???,0.208182633
2007 3???,0.230877259
2007 4???,0.238758165
2007 5???,0.29730336
2007 6???,0.289231474
2007 7???,0.292149782
2007 8???,0.307734436
2007 9???,0.278205989
2007 10???,0.249728824
2007 11???,0.256213164
2007 12???,0.233677832
2008 1???,0.219146469
2008 2???,0.235140023
2008 3???,0.2768967
2008 4???,0.256269499
2008 5???,0.287462039
2008 6???,0.302991251
2008 7???,0.309380735
2008 8???,0.300758426
2008 9???,0.302664592
2008 10???,0.305648901
2008 11???,0.242422894
